win,lose,probability
Cleveland Cavaliers,New York Knicks,0.9130112285215802
Golden State Warriors,San Antonio Spurs,0.7894272159434854
Portland Trail Blazers,Utah Jazz,0.656011759518183
Boston Celtics,Brooklyn Nets,0.8962599938014695
Indiana Pacers,Dallas Mavericks,0.6498461588955232
Houston Rockets,Los Angeles Lakers,0.8549539905201754
Memphis Grizzlies,Minnesota Timberwolves,0.6097732848599804
Charlotte Hornets,Milwaukee Bucks,0.695086818048515
Denver Nuggets,New Orleans Pelicans,0.5085514730208586
Miami Heat,Orlando Magic,0.6474298376718286
Oklahoma City Thunder,Philadelphia 76ers,0.9596113251051263
Sacramento Kings,Phoenix Suns,0.6749681866640473
Toronto Raptors,Detroit Pistons,0.7808815027148969
Atlanta Hawks,Washington Wizards,0.7205135371638239
Boston Celtics,Chicago Bulls,0.5598063619290032
Portland Trail Blazers,Los Angeles Clippers,0.5363355258527222
San Antonio Spurs,Sacramento Kings,0.8319671993030511
Indiana Pacers,Brooklyn Nets,0.8210762565253399
Dallas Mavericks,Houston Rockets,0.5306179379665883
Detroit Pistons,Orlando Magic,0.6940291568295407
Miami Heat,Charlotte Hornets,0.616558014825599
Golden State Warriors,New Orleans Pelicans,0.8992315333731837
Oklahoma City Thunder,Phoenix Suns,0.9410255916322835
Toronto Raptors,Cleveland Cavaliers,0.5288271894060456
Utah Jazz,Los Angeles Lakers,0.8183613080115844
Indiana Pacers,Chicago Bulls,0.5113558166978616
Charlotte Hornets,Boston Celtics,0.6187257038231764
Cleveland Cavaliers,Orlando Magic,0.8985241565572304
Portland Trail Blazers,Denver Nuggets,0.7229050756602224
Milwaukee Bucks,Brooklyn Nets,0.6842335653304795
Memphis Grizzlies,New York Knicks,0.5889748958187004
Atlanta Hawks,Philadelphia 76ers,0.9200338373393068
Sacramento Kings,Minnesota Timberwolves,0.5736222238940502
San Antonio Spurs,New Orleans Pelicans,0.9509594875970804
Detroit Pistons,Milwaukee Bucks,0.7467344778973642
Houston Rockets,Dallas Mavericks,0.5645367181701544
